2021-05-28 18:16:58,720 [Dummy-1:140647608600320] [django.db.backends:111] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2021-05-28 18:17:01,015 [Dummy-1:140381648451328] [django.db.backends:111] [DEBUG]- (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
2021-05-28 18:17:01,016 [Dummy-1:140381648451328] [django.db.backends:111] [DEBUG]- (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2021-05-28 18:17:01,018 [Dummy-1:140381648451328] [django.db.backends:111] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2021-05-28 18:17:01,023 [Dummy-1:140381648451328] [django.db.backends:111] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2021-05-28 18:17:03,305 [Dummy-1:140365187528448] [django.db.backends:111] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2021-05-28 18:17:03,307 [Dummy-1:140365187528448] [django.db.backends:111] [DEBUG]- (0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2021-05-28 18:17:03,310 [Dummy-1:140365187528448] [django.db.backends:111] [DEBUG]- (0.003) SHOW FULL TABLES; args=None
2021-05-28 18:17:03,315 [Dummy-1:140365187528448] [django.db.backends:111] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2021-05-28 18:17:05,597 [Dummy-1:140371719153408] [django.db.backends:111] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2021-05-28 18:17:05,598 [Dummy-1:140371719153408] [django.db.backends:111] [DEBUG]- (0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2021-05-28 18:17:05,600 [Dummy-1:140371719153408] [django.db.backends:111] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2021-05-28 18:17:05,605 [Dummy-1:140371719153408] [django.db.backends:111] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2021-05-28 18:17:07,925 [Dummy-1:140635365230336] [django.db.backends:111] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2021-05-28 18:17:07,927 [Dummy-1:140635365230336] [django.db.backends:111] [DEBUG]- (0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2021-05-28 18:17:07,933 [Dummy-1:140635365230336] [django.db.backends:111] [DEBUG]- (0.004) SHOW FULL TABLES; args=None
2021-05-28 18:17:07,940 [Dummy-1:140635365230336] [django.db.backends:111] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2021-05-28 18:17:10,261 [Dummy-1:140139178661632] [django.db.backends:111] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2021-05-28 18:17:10,267 [Dummy-1:140139178661632] [django.db.backends:111] [DEBUG]- (0.005) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2021-05-28 18:17:10,270 [Dummy-1:140139178661632] [django.db.backends:111] [DEBUG]- (0.003) SHOW FULL TABLES; args=None
